feedback_id,customer_id,type,channel,sentiment,message,created_at,nps_score,resolved
FB-00062,CUST-0080,praise,nps,positive,Melhorou muito nos últimos meses,2023-10-09,,True
FB-00063,CUST-0102,bug,plataforma,negative,Erro 500 ao acessar dashboard,2023-06-02,6,True
FB-00064,CUST-0123,feature_request,plataforma,neutral,Seria ótimo ter alertas por email,2024-08-01,,True
FB-00065,CUST-0135,support,nps,neutral,Como faço para adicionar usuários?,2023-02-02,0,
FB-00066,CUST-0106,praise,formulario,positive,Melhorou muito nos últimos meses,2024-03-20,,True
FB-00067,CUST-0105,support,formulario,neutral,Preciso de nota fiscal,2024-08-03,,
FB-00068,CUST_0148,bug,suporte,negative,Integração com API retorna timeout,2023-11-19,,True
FB-00069,CUST-0192,praise,nps,positive,Suporte muito rápido,2024-08-03,,
FB-00070,CUST-0033,support,formulario,neutral,Não consigo resetar minha senha,2023-03-22,,True
FB-00071,CUST-0185,complaint,formulario,negative,Preço alto para o que entrega,2024-09-01,7,False
FB-00072,CUST-0162,praise,email,positive,Plataforma excelente!,2024-01-20,,False
FB-00073,CUST-0191,complaint,suporte,negative,Preço alto para o que entrega,2023-03-26,,False
FB-00074,CUST-0191,bug,plataforma,negative,Sistema travando ao exportar relatórios,2023-01-06,2,False
FB-00075,CUST-0160,praise,nps,positive,Plataforma excelente!,2024-02-22,,False
FB-00076,CUST-0133,bug,nps,negative,Sistema travando ao exportar relatórios,2024-02-28,,True
FB-00077,CUST-0133,complaint,email,negative,Tempo de resposta do suporte muito alto,2023-06-23,6,False
FB-00078,CUST-0189,praise,email,positive,Melhorou muito nos últimos meses,2023-03-20,,False
FB-00079,CUST-0146,feature_request,plataforma,neutral,Falta integração com Slack,2024-02-10,,
FB-00080,CUST-0047,bug,email,negative,Erro 500 ao acessar dashboard,2023-11-25,6,False
FB-00081,CUST-0047,feature_request,suporte,neutral,Falta integração com Slack,2024-12-12,,False
FB-00082,CUST-0047,feature_request,suporte,neutral,Seria ótimo ter alertas por email,2024-07-31,,True
FB-00083,CUST-0158,praise,formulario,positive,Suporte muito rápido,2024-12-26,,True
FB-00084,CUST-0158,complaint,email,negative,Interface confusa,2023-09-05,9,False
FB-00085,CUST-0158,praise,email,positive,Melhorou muito nos últimos meses,2024-07-01,5,
FB-00086,CUST-0111,praise,suporte,positive,Melhorou muito nos últimos meses,2024-10-15,,True
FB-00087,CUST-0111,complaint,email,negative,Interface confusa,2023-02-15,,False
FB-00088,CUST-0129,bug,nps,negative,Integração com API retorna timeout,2023-08-16,,False
FB-00089,CUST-0015,praise,plataforma,positive,Plataforma excelente!,2024-11-26,,False
FB-00090,CUST-0170,support,plataforma,neutral,Como faço para adicionar usuários?,2023-04-29,,True
FB-00091,CUST-0040,feature_request,plataforma,neutral,Gostaríamos de exportar em PDF,2023-04-10,,
FB-00092,CUST-0078,complaint,suporte,negative,Preço alto para o que entrega,2024-10-25,2,False
FB-00093,CUST-0043,support,suporte,neutral,Preciso de nota fiscal,2023-08-26,,False
FB-00094,CUST-0042,complaint,formulario,negative,Preço alto para o que entrega,2023-07-22,4,
FB-00095,CUST-0083,bug,plataforma,negative,Erro 500 ao acessar dashboard,2023-04-15,1,False
FB-00096,CUST-0083,complaint,nps,negative,Interface confusa,2024-05-16,,
FB-00097,CUST-0159,feature_request,plataforma,neutral,Seria ótimo ter alertas por email,2024-04-13,,
FB-00098,CUST-0091,bug,suporte,negative,Integração com API retorna timeout,2023-11-09,,
FB-00099,CUST-0029,feature_request,suporte,neutral,Seria ótimo ter alertas por email,2023-07-10,4,True
FB-00100,CUST-0174,complaint,formulario,negative,Interface confusa,2024-09-26,6,
FB-00101,CUST-0122,praise,email,positive,Suporte muito rápido,2024-12-02,9,True
FB-00102,CUST-0121,feature_request,suporte,neutral,Falta integração com Slack,2023-02-03,,False
FB-00103,CUST-0121,praise,nps,positive,Suporte muito rápido,2023-04-26,,True
FB-00104,CUST-0067,feature_request,suporte,neutral,Falta integração com Slack,2023-08-12,,True
FB-00105,CUST-0067,feature_request,formulario,neutral,Gostaríamos de exportar em PDF,2023-12-23,9,
FB-00106,CUST-0115,complaint,suporte,negative,Tempo de resposta do suporte muito alto,2024-10-09,,
FB-00107,CUST-0037,feature_request,plataforma,neutral,Falta integração com Slack,2024-07-05,,
FB-00108,CUST-0109,complaint,email,negative,Tempo de resposta do suporte muito alto,2023-04-08,,
FB-00109,CUST-0109,bug,suporte,negative,Integração com API retorna timeout,2023-05-16,,True
FB-00110,CUST-0109,praise,formulario,positive,Melhorou muito nos últimos meses,2023-10-03,,True
FB-00111,CUST-0011,complaint,email,negative,Interface confusa,2024-12-12,,
FB-00112,CUST-0179,support,formulario,neutral,Preciso de nota fiscal,2024-10-12,,False
FB-00113,CUST-0026,praise,nps,positive,Plataforma excelente!,2023-11-27,,False
FB-00114,CUST-0026,complaint,email,negative,Tempo de resposta do suporte muito alto,2024-11-29,2,False
FB-00115,CUST-0145,support,suporte,neutral,Preciso de nota fiscal,2024-03-14,,False
FB-00116,CUST-0071,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-03-26,,False
FB-00117,CUST-0168,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2024-03-15,,True
FB-00118,,praise,plataforma,positive,Plataforma excelente!,2024-06-15,,False
FB-00119,CUST-0155,praise,formulario,positive,Plataforma excelente!,2023-08-23,,False
FB-00120,CUST-0081,complaint,formulario,negative,Preço alto para o que entrega,2023-05-17,,
FB-00121,CUST-0039,feature_request,email,neutral,Seria ótimo ter alertas por email,2023-08-07,,True
FB-00122,CUST-0079,bug,email,negative,Erro 500 ao acessar dashboard,2023-05-07,,True
FB-00123,CUST-0069,bug,plataforma,negative,Integração com API retorna timeout,2024-07-20,10,False
FB-00124,CUST-0012,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2023-07-13,,True
FB-00125,CUST-0065,complaint,plataforma,negative,Interface confusa,2023-03-14,9,False
FB-00126,CUST-0128,complaint,formulario,negative,Preço alto para o que entrega,2024-04-27,4,True
FB-00127,CUST-0022,bug,nps,negative,Erro 500 ao acessar dashboard,2024-02-12,,False
FB-00128,CUST-0076,praise,formulario,positive,Melhorou muito nos últimos meses,2024-09-22,,True
FB-00129,CUST-0197,feature_request,formulario,neutral,Falta integração com Slack,2024-10-11,,
FB-00130,CUST-0020,feature_request,email,neutral,Seria ótimo ter alertas por email,2023-09-08,,False
FB-00131,CUST-0020,complaint,suporte,negative,Preço alto para o que entrega,2024-11-04,7,False
FB-00132,CUST-0020,praise,plataforma,positive,Melhorou muito nos últimos meses,2023-09-23,,True
FB-00133,CUST-0103,feature_request,nps,neutral,Seria ótimo ter alertas por email,2024-06-20,7,
FB-00134,CUST-0085,praise,formulario,positive,Melhorou muito nos últimos meses,2024-08-03,,True
FB-00135,,praise,formulario,positive,Suporte muito rápido,2023-02-15,,True
FB-00136,CUST-0186,support,email,neutral,Não consigo resetar minha senha,2023-02-06,,False
FB-00137,CUST-0172,feature_request,formulario,neutral,Gostaríamos de exportar em PDF,2023-03-21,8,True
FB-00138,CUST-0172,support,plataforma,neutral,Como faço para adicionar usuários?,2023-03-12,7,True
FB-00139,CUST-0172,feature_request,nps,neutral,Gostaríamos de exportar em PDF,2023-10-26,,
FB-00140,CUST-0044,support,suporte,neutral,Não consigo resetar minha senha,2023-07-20,6,True
FB-00141,CUST-0044,feature_request,formulario,neutral,Falta integração com Slack,2023-12-21,10,False
FB-00142,CUST-0044,complaint,suporte,negative,Interface confusa,2023-11-11,,True
FB-00143,CUST-0073,bug,nps,negative,Erro 500 ao acessar dashboard,2023-10-14,,False
FB-00144,CUST-0073,praise,email,positive,Plataforma excelente!,2023-03-28,,True
FB-00145,CUST-0073,feature_request,plataforma,neutral,Falta integração com Slack,2023-05-14,,
FB-00146,CUST-0006,praise,nps,positive,Plataforma excelente!,2023-08-28,2,False
FB-00147,CUST-0004,feature_request,email,neutral,Falta integração com Slack,2024-07-02,,True
FB-00148,CUST-0117,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2023-11-08,,False
FB-00149,CUST-0092,complaint,plataforma,negative,Interface confusa,2023-12-31,,True
FB-00150,CUST-0104,feature_request,formulario,neutral,Falta integração com Slack,2024-04-08,2,True
FB-00151,CUST-0198,complaint,plataforma,negative,Preço alto para o que entrega,2023-08-16,,
FB-00152,CUST_0137,praise,email,positive,Plataforma excelente!,2023-03-18,5,True
FB-00153,CUST-0084,praise,email,positive,Suporte muito rápido,2023-06-22,10,False
FB-00154,CUST-0027,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-07-11,,
FB-00155,CUST-0087,feature_request,formulario,neutral,Falta integração com Slack,2024-02-26,,False
FB-00156,CUST-0054,support,nps,neutral,Não consigo resetar minha senha,2024-06-22,,
FB-00157,CUST-0097,praise,plataforma,positive,Suporte muito rápido,2024-05-11,0,False
FB-00158,CUST-0196,bug,nps,negative,Erro 500 ao acessar dashboard,2023-10-15,,True
FB-00159,CUST-0064,bug,formulario,negative,Sistema travando ao exportar relatórios,2024-11-03,,False
FB-00160,CUST-0064,feature_request,plataforma,neutral,Seria ótimo ter alertas por email,2023-06-27,5,
FB-00161,CUST-0064,praise,email,positive,Melhorou muito nos últimos meses,2024-07-30,,False
FB-00162,CUST-0070,bug,formulario,negative,Erro 500 ao acessar dashboard,2024-09-08,,True
FB-00163,CUST-0038,feature_request,plataforma,neutral,Gostaríamos de exportar em PDF,2023-07-01,9,
FB-00164,CUST-0038,support,formulario,neutral,Como faço para adicionar usuários?,2023-04-24,,
FB-00165,CUST-0118,bug,email,negative,Integração com API retorna timeout,2023-11-06,,
FB-00166,CUST-0062,complaint,plataforma,negative,Tempo de resposta do suporte muito alto,2024-07-29,,True
FB-00167,CUST-0180,complaint,nps,negative,Interface confusa,2023-10-29,,
FB-00168,CUST-0169,complaint,email,negative,Tempo de resposta do suporte muito alto,2024-09-18,,True
FB-00169,CUST-0153,support,plataforma,neutral,Como faço para adicionar usuários?,2023-06-21,3,True
FB-00170,CUST-0059,feature_request,email,neutral,Seria ótimo ter alertas por email,2023-04-21,,True
FB-00171,CUST-0010,praise,email,positive,Melhorou muito nos últimos meses,2024-01-23,,
FB-00172,CUST-0010,feature_request,plataforma,neutral,Gostaríamos de exportar em PDF,2024-04-07,,True
FB-00173,CUST-0008,bug,formulario,negative,Erro 500 ao acessar dashboard,2024-01-20,,
FB-00174,CUST-0021,complaint,email,negative,Tempo de resposta do suporte muito alto,2024-03-17,5,True
FB-00175,CUST-0021,support,nps,neutral,Como faço para adicionar usuários?,2024-02-24,,False
FB-00176,CUST-0057,bug,formulario,negative,Erro 500 ao acessar dashboard,2024-08-08,1,False
FB-00177,,complaint,suporte,negative,Preço alto para o que entrega,2024-05-06,1,False
FB-00178,CUST-0188,complaint,plataforma,negative,Tempo de resposta do suporte muito alto,2023-11-12,,False
FB-00179,CUST-0101,support,email,neutral,Como faço para adicionar usuários?,2024-01-14,4,
FB-00180,CUST-0060,complaint,nps,negative,Interface confusa,2024-11-14,,
FB-00181,CUST-0014,bug,nps,negative,Integração com API retorna timeout,2024-02-01,,False
FB-00182,CUST-0099,feature_request,formulario,neutral,Seria ótimo ter alertas por email,2023-11-03,,
FB-00183,CUST-0072,complaint,email,negative,Tempo de resposta do suporte muito alto,2024-09-27,,True
FB-00184,CUST-0072,support,email,neutral,Não consigo resetar minha senha,2023-07-17,,
FB-00185,CUST-0161,praise,formulario,positive,Plataforma excelente!,2023-11-24,,False
FB-00186,CUST-0068,support,nps,neutral,Preciso de nota fiscal,2024-06-16,,False
FB-00187,CUST-0056,bug,formulario,negative,Sistema travando ao exportar relatórios,2024-08-03,,True
FB-00188,CUST-0046,support,email,neutral,Preciso de nota fiscal,2023-12-19,,True
FB-00189,CUST-0046,bug,email,negative,Sistema travando ao exportar relatórios,2024-02-17,,False
FB-00190,CUST-0113,bug,formulario,negative,Erro 500 ao acessar dashboard,2024-05-01,,False
FB-00191,CUST-0138,complaint,suporte,negative,Tempo de resposta do suporte muito alto,2024-12-13,,
FB-00192,CUST-0156,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2023-10-03,,False
FB-00193,CUST-0166,complaint,suporte,negative,Tempo de resposta do suporte muito alto,2024-01-18,,
FB-00194,,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2024-06-20,,True
FB-00195,CUST-0009,bug,email,negative,Integração com API retorna timeout,2024-01-05,,True
FB-00196,CUST-0049,feature_request,email,neutral,Seria ótimo ter alertas por email,2024-05-15,,False
FB-00197,,support,formulario,neutral,Não consigo resetar minha senha,2024-12-06,,True
FB-00198,CUST-0143,complaint,nps,negative,Tempo de resposta do suporte muito alto,2024-11-24,,
FB-00199,CUST-0143,bug,formulario,negative,Sistema travando ao exportar relatórios,2023-05-16,4,
FB-00200,CUST-0112,complaint,email,negative,Interface confusa,2024-03-09,4,
FB-00201,CUST-0112,praise,nps,positive,Melhorou muito nos últimos meses,2024-09-30,,False
FB-00202,CUST-0112,praise,formulario,positive,Suporte muito rápido,2024-08-31,4,
FB-00203,CUST-0165,feature_request,plataforma,neutral,Gostaríamos de exportar em PDF,2024-11-02,3,True
FB-00204,CUST-0184,complaint,suporte,negative,Preço alto para o que entrega,2024-09-06,7,False
FB-00205,CUST-0184,feature_request,nps,neutral,Seria ótimo ter alertas por email,2024-03-04,,True
FB-00206,CUST-0016,complaint,plataforma,negative,Preço alto para o que entrega,2024-12-03,,True
FB-00207,CUST-0030,support,plataforma,neutral,Preciso de nota fiscal,2023-07-05,,True
FB-00208,CUST-0030,support,suporte,neutral,Preciso de nota fiscal,2023-12-10,,False
FB-00209,CUST-0107,feature_request,formulario,neutral,Falta integração com Slack,2023-09-24,10,
FB-00210,CUST-0107,praise,nps,positive,Plataforma excelente!,2024-09-27,,False
FB-00211,CUST-0018,feature_request,email,neutral,Seria ótimo ter alertas por email,2023-06-04,,False
FB-00212,CUST-0125,support,suporte,neutral,Como faço para adicionar usuários?,2023-07-04,,True
FB-00213,CUST-0124,feature_request,formulario,neutral,Gostaríamos de exportar em PDF,2023-06-22,,
FB-00214,,feature_request,suporte,neutral,Seria ótimo ter alertas por email,2024-05-03,,True
FB-00215,CUST-0200,complaint,suporte,negative,Tempo de resposta do suporte muito alto,2024-06-27,,False
FB-00216,CUST-0200,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-04-16,,False
FB-00217,CUST-0110,praise,suporte,positive,Suporte muito rápido,2024-06-16,,False
FB-00218,CUST-0110,feature_request,email,neutral,Gostaríamos de exportar em PDF,2023-07-12,2,True
FB-00219,CUST-0110,complaint,formulario,negative,Interface confusa,2024-08-26,,False
FB-00220,CUST-0144,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2024-08-31,,False
FB-00221,CUST-0144,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-05-07,,
FB-00222,CUST-0025,feature_request,nps,neutral,Seria ótimo ter alertas por email,2023-04-14,1,
FB-00223,CUST-0098,bug,nps,negative,Sistema travando ao exportar relatórios,2023-04-27,,
FB-00224,CUST-0098,support,formulario,neutral,Preciso de nota fiscal,2024-01-02,,True
FB-00225,CUST_0132,praise,formulario,positive,Melhorou muito nos últimos meses,2023-08-29,,True
FB-00226,CUST-0090,complaint,plataforma,negative,Preço alto para o que entrega,2023-03-18,4,False
FB-00227,CUST-0090,praise,plataforma,positive,Suporte muito rápido,2023-04-13,,False
FB-00228,CUST-0090,feature_request,formulario,neutral,Gostaríamos de exportar em PDF,2023-04-29,,
FB-00229,CUST-0086,feature_request,formulario,neutral,Falta integração com Slack,2024-03-24,,True
FB-00230,CUST-0201,praise,suporte,positive,Melhorou muito nos últimos meses,2023-05-13,,True
FB-00231,CUST-0201,praise,plataforma,positive,Melhorou muito nos últimos meses,2023-08-06,,True
FB-00232,CUST-0201,feature_request,formulario,neutral,Gostaríamos de exportar em PDF,2024-07-17,,True
FB-00233,CUST-0202,complaint,nps,negative,Tempo de resposta do suporte muito alto,2022-04-19,5,False
FB-00234,CUST-0202,feature_request,suporte,neutral,Falta integração com HubSpot,2022-08-08,,True
FB-00235,CUST_0202,praise,formulario,positive,Equipe atenciosa,2024-03-12,,True
FB-00236,CUST-0203,praise,plataforma,positive,Suporte muito rápido,2024-04-10,,True
FB-00237,CUST-0203,praise,plataforma,positive,Suporte muito rápido,2024-04-10,,True
FB-00238,CUST_0203,support,plataforma,neutral,Como recupero a fatura?,2024-09-12,,False
FB-00239,CUST-0205,complaint,formulario,negative,Sem retorno do CSM,2024-11-11,,False
FB-00240,CUST-0206,praise,formulario,positive,Suporte muito rápido,2025-05-28,,True
FB-00241,CUST-0207,praise,suporte,positive,Suporte muito rápido,2024-08-19,,True
FB-00242,CUST-0207,feature_request,nps,neutral,SSO via Okta,2024-10-04,6,False
FB-00243,CUST-0207,praise,formulario,positive,Plataforma excelente!,2025-04-26,,True
FB-00244,CUST-0208,complaint,formulario,negative,Faturamento incorreto,2025-01-18,,
FB-00245,CUST-0208,praise,suporte,positive,Melhorou muito nos últimos meses,2025-04-03,,
FB-00246,CUST-0208,praise,suporte,positive,Melhorou muito nos últimos meses,2025-05-02,,True
FB-00247,CUST-0209,support,plataforma,neutral,Como recupero a fatura?,2025-02-13,,
FB-00248,CUST-0209,praise,email,positive,Melhorou muito nos últimos meses,2024-08-17,,True
FB-00249,CUST-0209,bug,email,negative,Integração com API retorna timeout,2024-02-24,,False
FB-00250,CUST-0210,complaint,formulario,negative,Sem retorno do CSM,2024-04-27,,
FB-00251,CUST-0210,praise,nps,positive,Funcionalidade impecável,2024-02-05,9,True
FB-00252,CUST-0211,bug,email,negative,Login intermitente,2023-09-15,,
FB-00253,CUST-0211,bug,email,negative,Login intermitente,2023-09-15,,
FB-00254,CUST-0212,bug,suporte,negative,Relatório gerado em branco,2022-06-18,,True
FB-00255,CUST-0212,support,suporte,neutral,Como faço para adicionar usuários?,2024-01-14,,True
FB-00256,CUST-0212,bug,nps,negative,Login intermitente,2022-09-22,4,True
FB-00257,CUST-0213,complaint,email,negative,Sem retorno do CSM,2024-12-20,,True
FB-00258,CUST-0213,feature_request,email,neutral,Seria ótimo ter alertas por email,2024-10-23,,False
FB-00259,CUST-0213,bug,plataforma,negative,Integração com API retorna timeout,2024-07-20,,True
FB-00260,CUST-0215,support,formulario,neutral,Como faço para adicionar usuários?,2024-11-25,,True
FB-00261,CUST-0215,support,formulario,neutral,Como faço para adicionar usuários?,2025-01-27,,True
FB-00262,CUST-0215,praise,email,positive,Suporte muito rápido,2024-12-30,,
FB-00263,CUST-0216,feature_request,formulario,neutral,Falta integração com HubSpot,2025-02-12,,False
FB-00264,CUST-0216,complaint,plataforma,negative,Sem retorno do CSM,2024-12-12,,
FB-00265,CUST-0217,support,nps,neutral,Como faço para adicionar usuários?,2025-05-01,7,False
FB-00266,CUST-0217,praise,plataforma,positive,Plataforma excelente!,2025-05-06,,True
FB-00267,CUST-0218,complaint,plataforma,negative,Difícil de configurar,2024-02-12,,
FB-00268,CUST-0218,complaint,plataforma,negative,Sem retorno do CSM,2025-03-15,,
FB-00269,CUST-0219,support,nps,neutral,Como recupero a fatura?,2025-02-28,7,False
FB-00270,CUST-0220,praise,email,positive,Equipe atenciosa,2023-06-30,,False
FB-00271,CUST-0220,praise,suporte,positive,Melhorou muito nos últimos meses,2024-02-02,,True
FB-00272,CUST-0220,complaint,email,negative,Difícil de configurar,2023-11-12,,
FB-00273,CUST-0221,complaint,plataforma,negative,Tempo de resposta do suporte muito alto,2024-05-22,,True
FB-00274,CUST_0221,praise,email,positive,Plataforma excelente!,2023-02-16,,False
FB-00275,CUST_0222,praise,nps,positive,Melhorou muito nos últimos meses,2024-07-07,10,
FB-00276,CUST-0222,support,plataforma,neutral,Como faço para adicionar usuários?,2023-01-07,,
FB-00277,CUST-0222,praise,nps,positive,Suporte muito rápido,2023-05-11,8,False
FB-00278,CUST-0222,praise,formulario,positive,Equipe atenciosa,2025-02-05,,False
FB-00279,CUST_0223,praise,email,positive,Melhorou muito nos últimos meses,2025-01-25,,True
FB-00280,CUST-0223,support,email,neutral,Como faço para adicionar usuários?,2025-05-03,,
FB-00281,CUST-0223,praise,formulario,positive,Equipe atenciosa,2025-03-14,,True
FB-00282,CUST-0223,complaint,suporte,negative,Faturamento incorreto,2025-02-22,,True
FB-00283,CUST-0226,praise,plataforma,positive,Melhorou muito nos últimos meses,2023-09-29,,False
FB-00284,CUST-0226,praise,email,positive,Funcionalidade impecável,2023-09-04,,True
FB-00285,CUST-0226,feature_request,email,neutral,Gostaríamos de exportar em PDF,2024-05-21,,
FB-00286,CUST-0226,praise,nps,positive,Equipe atenciosa,2024-06-10,9,
FB-00287,CUST-0227,bug,nps,negative,Erro 500 ao acessar dashboard,2024-02-22,0,
FB-00288,CUST-0228,support,plataforma,neutral,Posso mudar de plano?,2024-03-01,,False
FB-00289,CUST-0228,bug,formulario,negative,Integração com API retorna timeout,2025-01-08,,True
FB-00290,CUST-0228,bug,nps,negative,Relatório gerado em branco,2025-01-24,5,
FB-00291,CUST-0229,bug,plataforma,negative,Erro 500 ao acessar dashboard,2023-08-06,,True
FB-00292,CUST-0229,support,formulario,neutral,Como faço para adicionar usuários?,2022-09-04,,False
FB-00293,CUST-0230,praise,email,positive,Plataforma excelente!,2025-01-28,,False
FB-00294,CUST-0231,feature_request,suporte,neutral,SSO via Okta,2024-05-19,,False
FB-00295,CUST-0231,praise,plataforma,positive,Suporte muito rápido,2024-06-10,,
FB-00296,CUST-0231,feature_request,formulario,neutral,SSO via Okta,2024-07-20,,True
FB-00297,CUST-0232,praise,plataforma,positive,Plataforma excelente!,2023-05-16,,True
FB-00298,CUST-0233,complaint,nps,negative,Difícil de configurar,2023-01-17,0,False
FB-00299,CUST-0234,support,nps,neutral,Como recupero a fatura?,2024-05-25,7,True
FB-00300,CUST-0234,praise,plataforma,positive,Suporte muito rápido,2025-01-19,,False
FB-00301,CUST-0234,praise,email,positive,Funcionalidade impecável,2024-02-04,,False
FB-00302,CUST-0235,support,formulario,neutral,Como faço para adicionar usuários?,2024-01-23,,False
FB-00303,CUST-0235,support,formulario,neutral,Como faço para adicionar usuários?,2024-01-23,,False
